Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,MA200,Daily_Return,Volatility,Momentum,Trend,Day,Month,Year,DayOfWeek,IsMonthStart,IsMonthEnd
2015-01-01 00:00:00+05:30,202.59327697753903,203.8961944580078,201.98751831054688,202.95899963378903,189.9998016357422,2963643,,,,,,,Downtrend,1,1,2015,3,1,0
2015-01-02 00:00:00+05:30,203.0047149658203,204.82196044921875,202.1361083984375,202.4218292236328,189.49691772460935,7331366,,,,-0.002646694214720524,,,Downtrend,2,1,2015,4,0,0
2015-01-05 00:00:00+05:30,202.29611206054688,203.64476013183597,199.80455017089844,200.2045745849609,187.42124938964844,10103941,,,,-0.010953634038265214,,,Downtrend,5,1,2015,0,0,0
2015-01-06 00:00:00+05:30,198.86737060546875,199.55311584472656,190.1811981201172,191.11839294433597,178.91525268554688,18627980,,,,-0.04538448564155584,,,Downtrend,6,1,2015,1,0,0
2015-01-07 00:00:00+05:30,191.34698486328125,196.30723571777344,191.3241271972656,195.2786102294922,182.80979919433597,20720312,,,,0.021767749409487225,,,Downtrend,7,1,2015,2,0,0
2015-01-08 00:00:00+05:30,196.60438537597656,197.2444305419922,192.04415893554688,192.4784698486328,180.1884613037109,19872227,,,,-0.014339206826434525,,,Downtrend,8,1,2015,3,0,0
2015-01-09 00:00:00+05:30,193.92996215820312,197.0386962890625,193.1527862548828,196.6501007080078,184.0937347412109,13392787,,,,0.021673233700660655,,,Downtrend,9,1,2015,4,0,0
2015-01-12 00:00:00+05:30,196.69583129882807,196.81011962890625,192.3756103515625,194.36427307128903,181.9538726806641,10100113,,,,-0.01162383150829327,,,Downtrend,12,1,2015,0,0,0
2015-01-13 00:00:00+05:30,194.9814453125,195.42718505859372,192.1241607666016,192.7299041748047,180.42384338378903,9948711,,,,-0.00840879278201967,,,Downtrend,13,1,2015,1,0,0
2015-01-14 00:00:00+05:30,192.69561767578125,193.6099548339844,189.9983367919922,190.85552978515625,178.6691436767578,11380041,,,,-0.00972539470547551,,-5.050538635253901,Downtrend,14,1,2015,2,0,0
2015-01-15 00:00:00+05:30,192.00987243652344,199.11880493164065,192.00987243652344,197.55300903320312,184.93898010253903,16927085,,,,0.03509187947336989,,2.187539672851557,Downtrend,15,1,2015,3,0,0
2015-01-16 00:00:00+05:30,196.5815277099609,200.01028442382807,194.7642974853516,198.79879760742188,186.10525512695312,19136963,,,,0.006306097691528345,,3.7956314086914062,Downtrend,16,1,2015,4,0,0
2015-01-19 00:00:00+05:30,198.9130859375,202.52468872070312,196.2958068847656,201.0731964111328,188.23440551757807,13339962,,,,0.011440707041912246,,5.983168029785162,Downtrend,19,1,2015,0,0,0
2015-01-20 00:00:00+05:30,201.4960784912109,206.99349975585935,200.89031982421875,206.4220428466797,193.24171447753903,13361320,,,,0.02660148906475901,,9.801649475097662,Downtrend,20,1,2015,1,0,0
2015-01-21 00:00:00+05:30,206.86778259277344,208.3307037353516,203.9076232910156,207.26779174804688,194.0334930419922,17084297,,,,0.004097183080371769,,9.44848022460937,Downtrend,21,1,2015,2,0,0
2015-01-22 00:00:00+05:30,206.90206909179688,207.37066650390625,201.03890991210935,202.0103912353516,189.1117706298828,23721627,,,,-0.025365255587255664,,3.2378875732422046,Downtrend,22,1,2015,3,0,0
2015-01-23 00:00:00+05:30,203.43902587890625,205.2219696044922,200.4674530029297,202.7304229736328,189.7858428955078,18080494,,,,0.0035643302004317867,,3.349887084960926,Downtrend,23,1,2015,4,0,0
2015-01-27 00:00:00+05:30,204.10191345214844,204.9705352783203,201.2674865722656,203.2218780517578,190.2458953857422,17939876,,,,0.002424180204018578,,2.9555816650390625,Downtrend,27,1,2015,1,0,0
2015-01-28 00:00:00+05:30,202.54754638671875,207.9649810791016,202.54754638671875,207.2906494140625,194.05487060546875,19298126,,,,0.02002132546609192,,5.568278503417957,Downtrend,28,1,2015,2,0,0
